1984 2710
1985 2715
1986 2720
1987 2735
1988 2750
1989 2775
1990 2800
1991 2800
1992 2780
1993 2805
1994 2815
1995 2805
1996 2785
1997 2795
1998 2825
1999 2812
2000 2851
2001 2849
2002 2838
2003 2847
2004 2831
2005 2804
2006 2812
